properties{
  x = 0,
  y = 0,
  width = 320,
  height = 240,
  tileset = "castle",
  music = "village",
}

tile{
  layer = 0,
  x = 8,
  y = 40,
  width = 288,
  height = 160,
  pattern = "3",
}

tile{
  layer = 0,
  x = 216,
  y = 200,
  width = 16,
  height = 16,
  pattern = "3",
}

tile{
  layer = 0,
  x = 104,
  y = 200,
  width = 16,
  height = 16,
  pattern = "3",
}

tile{
  layer = 0,
  x = 120,
  y = 168,
  width = 96,
  height = 64,
  pattern = "67",
}

tile{
  layer = 0,
  x = 8,
  y = 24,
  width = 8,
  height = 16,
  pattern = "32",
}

tile{
  layer = 0,
  x = 16,
  y = 24,
  width = 256,
  height = 16,
  pattern = "33",
}

tile{
  layer = 0,
  x = 272,
  y = 24,
  width = 16,
  height = 16,
  pattern = "34",
}

tile{
  layer = 0,
  x = 288,
  y = 24,
  width = 8,
  height = 16,
  pattern = "35",
}

tile{
  layer = 0,
  x = 288,
  y = 40,
  width = 8,
  height = 144,
  pattern = "31",
}

tile{
  layer = 0,
  x = 8,
  y = 40,
  width = 8,
  height = 144,
  pattern = "30",
}

tile{
  layer = 0,
  x = 8,
  y = 184,
  width = 16,
  height = 16,
  pattern = "36",
}

tile{
  layer = 0,
  x = 24,
  y = 184,
  width = 80,
  height = 16,
  pattern = "37",
}

tile{
  layer = 0,
  x = 280,
  y = 184,
  width = 16,
  height = 16,
  pattern = "38",
}

tile{
  layer = 0,
  x = 144,
  y = 176,
  width = 48,
  height = 32,
  pattern = "26",
}

tile{
  layer = 0,
  x = 256,
  y = 152,
  width = 16,
  height = 32,
  pattern = "40",
}

tile{
  layer = 0,
  x = 32,
  y = 104,
  width = 48,
  height = 32,
  pattern = "64",
}

tile{
  layer = 0,
  x = 256,
  y = 72,
  width = 32,
  height = 24,
  pattern = "47",
}

tile{
  layer = 0,
  x = 168,
  y = 24,
  width = 16,
  height = 16,
  pattern = "8",
}

tile{
  layer = 0,
  x = 16,
  y = 32,
  width = 32,
  height = 32,
  pattern = "41",
}

tile{
  layer = 0,
  x = 112,
  y = 32,
  width = 16,
  height = 56,
  pattern = "44",
}

tile{
  layer = 0,
  x = 128,
  y = 72,
  width = 96,
  height = 16,
  pattern = "45",
}

tile{
  layer = 0,
  x = 224,
  y = 32,
  width = 16,
  height = 56,
  pattern = "46",
}

tile{
  layer = 0,
  x = 264,
  y = 160,
  width = 32,
  height = 24,
  pattern = "25",
}

tile{
  layer = 0,
  x = 256,
  y = 24,
  width = 16,
  height = 16,
  pattern = "8",
}

tile{
  layer = 0,
  x = 208,
  y = 120,
  width = 16,
  height = 24,
  pattern = "39",
}

tile{
  layer = 0,
  x = 112,
  y = 120,
  width = 16,
  height = 24,
  pattern = "39",
}

tile{
  layer = 0,
  x = 48,
  y = 104,
  width = 16,
  height = 16,
  pattern = "52",
}

tile{
  layer = 0,
  x = 216,
  y = 56,
  width = 16,
  height = 24,
  pattern = "57",
}

tile{
  layer = 0,
  x = 120,
  y = 64,
  width = 16,
  height = 16,
  pattern = "62",
}

tile{
  layer = 0,
  x = 184,
  y = 64,
  width = 16,
  height = 16,
  pattern = "59",
}

tile{
  layer = 0,
  x = 120,
  y = 24,
  width = 32,
  height = 32,
  pattern = "66",
}

tile{
  layer = 0,
  x = 208,
  y = 24,
  width = 16,
  height = 32,
  pattern = "65",
}

tile{
  layer = 0,
  x = 40,
  y = 32,
  width = 32,
  height = 32,
  pattern = "41",
}

tile{
  layer = 0,
  x = 104,
  y = 216,
  width = 16,
  height = 16,
  pattern = "36",
}

tile{
  layer = 0,
  x = 120,
  y = 216,
  width = 96,
  height = 16,
  pattern = "37",
}

tile{
  layer = 0,
  x = 104,
  y = 184,
  width = 8,
  height = 32,
  pattern = "30",
}

tile{
  layer = 0,
  x = 216,
  y = 216,
  width = 16,
  height = 16,
  pattern = "38",
}

tile{
  layer = 0,
  x = 224,
  y = 184,
  width = 8,
  height = 32,
  pattern = "31",
}

tile{
  layer = 0,
  x = 232,
  y = 184,
  width = 48,
  height = 16,
  pattern = "37",
}

tile{
  layer = 0,
  x = 48,
  y = 128,
  width = 16,
  height = 24,
  pattern = "81",
}

tile{
  layer = 0,
  x = 80,
  y = 24,
  width = 16,
  height = 16,
  pattern = "8",
}

destination{
  name = "default",
  layer = 0,
  x = 168,
  y = 197,
  direction = 1,
}

chest{
  name = "sword_chest",
  layer = 0,
  x = 280,
  y = 53,
  treasure_name = "sword",
  treasure_savegame_variable = "ischestOpen",
  sprite = "entities/chest",
}

destructible{
  layer = 0,
  x = 80,
  y = 53,
  sprite = "entities/pot",
  destruction_sound = "stone",
  damage_on_enemies = 2,
}

destructible{
  layer = 0,
  x = 96,
  y = 53,
  sprite = "entities/pot",
  destruction_sound = "stone",
  damage_on_enemies = 2,
}

destructible{
  layer = 0,
  x = 112,
  y = 53,
  sprite = "entities/pot",
  destruction_sound = "stone",
  damage_on_enemies = 2,
}

destructible{
  layer = 0,
  x = 24,
  y = 165,
  sprite = "entities/stone_small_white",
  destruction_sound = "stone",
  weight = 1,
  damage_on_enemies = 2,
}

destructible{
  layer = 0,
  x = 40,
  y = 181,
  sprite = "entities/stone_small_white",
  destruction_sound = "stone",
  weight = 1,
  damage_on_enemies = 2,
}

destructible{
  layer = 0,
  x = 24,
  y = 181,
  sprite = "entities/stone_small_white",
  destruction_sound = "stone",
  weight = 1,
  damage_on_enemies = 2,
}

npc{
  layer = 0,
  x = 136,
  y = 173,
  direction = 3,
  subtype = 0,
  sprite = "entities/sign",
  behavior = "dialog#welcome_sign",
}

block{
  layer = 0,
  x = 56,
  y = 181,
  sprite = "entities/block",
  pushable = true,
  pullable = true,
  maximum_moves = 2,
}

teletransporter{
  name = "outside_house",
  layer = 0,
  x = 160,
  y = 200,
  width = 16,
  height = 16,
  destination_map = "chap0",
}

